km_marker,km,health_score,risk_score,confidence,traffic_zone,train_speed,trend,recommended_action,visual_defect,visual_severity,visual_confidence,sensor_agrees,vision_agrees,fused_confidence,fusion_verdict
KM_990,990,40.8,98.0,83.7%,High Traffic,120 km/h,Rapidly Deteriorating,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,93.2,True,False,93.5,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_670,670,49.8,98.0,80.1%,High Traffic,120 km/h,Rapidly Deteriorating,🔴 REPAIR WITHIN 24 HOURS,surface_crack,0.85,79.3,True,True,94.7,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_440,440,45.4,98.0,81.8%,High Traffic,120 km/h,Rapidly Deteriorating,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,91.1,True,False,91.4,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_350,350,37.1,98.0,85.2%,High Traffic,120 km/h,Rapidly Deteriorating,🔴 REPAIR WITHIN 24 HOURS,missing_bolt,0.75,70.9,True,True,93.1,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_1010,1010,46.2,98.0,81.5%,High Traffic,120 km/h,Rapidly Deteriorating,🔴 REPAIR WITHIN 24 HOURS,surface_crack,0.85,84.4,True,True,98.0,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_270,270,46.1,98.0,81.6%,High Traffic,120 km/h,Rapidly Deteriorating,🔴 REPAIR WITHIN 24 HOURS,rail_corrosion,0.6,94.9,True,True,99.0,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_150,150,21.3,98.0,91.5%,High Traffic,120 km/h,Rapidly Deteriorating,🔴 REPAIR WITHIN 24 HOURS,surface_crack,0.85,81.2,True,True,99.0,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_790,790,58.9,93.0,76.4%,High Traffic,120 km/h,Deteriorating,🔴 REPAIR WITHIN 24 HOURS,weld_defect,0.9,84.9,True,True,95.7,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_1260,1260,58.7,93.0,76.5%,High Traffic,120 km/h,Deteriorating,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,91.3,True,False,88.9,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_1220,1220,70.5,88.0,71.8%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,97.9,True,False,89.8,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_460,460,69.1,88.0,72.4%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,missing_bolt,0.75,78.0,True,True,90.2,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_380,380,71.6,88.0,71.4%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,91.8,True,False,86.6,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_140,140,72.7,88.0,70.9%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,surface_crack,0.85,87.1,True,True,94.0,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_1240,1240,72.1,88.0,71.2%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,missing_bolt,0.75,79.3,True,True,90.2,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_700,700,76.1,86.5,69.6%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,97.6,True,False,88.6,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_10,10,76.9,85.3,69.2%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,missing_bolt,0.75,93.8,True,True,96.5,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_60,60,77.2,84.9,69.1%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,92.5,True,False,85.8,🟡 SENSOR ALERT — Awaiting Visual Confirmation
